ligand,affinity,ligand,
1270,-11.4,individual_ligand_1270,"8-Hydroxychrysoeriol 8-glucuronide, 8-Hydroxyluteolin 3'-methyl ether 8-glucuronide"
1223,-10.8,individual_ligand_1223,"7,8,2'-Trimethoxy-4',5'-methylenedioxyisoflavone"
1069,-10.1,individual_ligand_1069,"6,5'-Dihydroxy-3,7,2',4'-tetramethoxyflavone"
1048,-9.4,individual_ligand_1048,6-Methoxykaempferol 7-glucoside
1663,-9.3,individual_ligand_1663,Betagarin
1686,-9.3,individual_ligand_1686,Bonannione A
1723,-9.3,individual_ligand_1723,"Cachimoside, Kachimoside, Vitexin 6""-O-xyloside"
1002,-9.2,individual_ligand_1002,6-Hydroxykaempferol 3-methyl ether 6-glucoside
1332,-9.2,individual_ligand_1332,"Acacetin 7- (6""-acetylglucoside)"
1470,-9.2,individual_ligand_1470,Antiarone K
1042,-9.1,individual_ligand_1042,6-Methoxykaempferol 3-rhamnoside
1325,-9.1,individual_ligand_1325,Abyssinone III
1452,-9.1,individual_ligand_1452,Angustone A
1690,-9.1,individual_ligand_1690,Brickellin
1838,-9.1,individual_ligand_1838,Chrysin 6-C-glucoside-8-C-alpha-L-arabinopyranoside
1144,-9,individual_ligand_1144,7-Hydroxyflavan
1227,-9,individual_ligand_1227,7a-O-Methyldeguelol
1327,-9,individual_ligand_1327,Abyssinone V
1337,-9,individual_ligand_1337,"Acacetin 7-apiosyl (1->6) -glucopyranoside, Apigenin 4'-methyl ether 7-apiosyl (1->6) -glucopyranoside, 5-Hydroxy-2- (4-methoxyphenyl) -7- [ (6-O-D-apio-beta-D-furanosyl-beta-D-glucopyranosyl) oxy ] -4H-1-benzopyran-4-one"
1344,-9,individual_ligand_1344,Acacetin 7-O-alpha-L-rhamnopyranoside
1355,-9,individual_ligand_1355,Adunctin A
1491,-9,individual_ligand_1491,"Apigenin 7- (2"",6""-di-p-coumarylglucoside)"
1529,-9,individual_ligand_1529,Apigenin 7-neohesperidoside-4'-sophoroside
1006,-8.9,individual_ligand_1006,"6-Hydroxykaempferol 3,6-diglucoside"
1009,-8.9,individual_ligand_1009,"6-Hydroxykaempferol 5,6-dimethyl ether"
1225,-8.9,individual_ligand_1225,"7,8,3',4',5'-Pentamethoxy-6"",6""-dimethylpyrano [ 2"",3"":5,6 ] flavone"
1328,-8.9,individual_ligand_1328,Abyssinone V 4'-methyl ether
1472,-8.9,individual_ligand_1472,"Apiferol, Apiforol, Leucoapigeninidin"
1493,-8.9,individual_ligand_1493,"Apigenin 7- (3""-p-coumaroylglucoside)"
1053,-8.8,individual_ligand_1053,"6-Methoxytricin, 5,7,4'-Trihydroxy-6,3',5'-trimethoxyflavone"
1056,-8.8,individual_ligand_1056,"6-Prenylherbacetin 3,8-dimethyl ether, 5,7,4'-Trihydroxy-3,8-dimethoxy-6-prenylflavone"
1096,-8.8,individual_ligand_1096,6'-Demethoxypraecansone B
1221,-8.8,individual_ligand_1221,"7,8-Dimethoxy-3',4'-methylenedioxyisoflavone"
1279,-8.8,individual_ligand_1279,"8-Hydroxyluteolin 4'-methyl ether 7- (6""'-acetylallosyl) (1->2) (6""-acetylglucoside)"
1326,-8.8,individual_ligand_1326,Abyssinone IV
1329,-8.8,individual_ligand_1329,Abyssinone VI
1482,-8.8,individual_ligand_1482,"Apigenin 5-rhamnosyl- (1->2) - (6""-acetylglucoside)"
1874,-8.8,individual_ligand_1874,Citflavanone
1888,-8.8,individual_ligand_1888,Coccinoside B
1110,-8.7,individual_ligand_1110,"6""'-Feruloylsaponarin, Isovitexin 7-O-beta- [ 6""'-O- (E) -p-feruloyl ] glucoside"
1111,-8.7,individual_ligand_1111,"6a-Hydroxyinermin, 6a-Hydroxymaackiain"
1203,-8.7,individual_ligand_1203,"7,4'-Dihydroxy-3'-methoxy-8-methylflavan"
1243,-8.7,individual_ligand_1243,"8-C-Methylquercetagetin 3,6,3'-trimethyl ether"
1276,-8.7,individual_ligand_1276,8-Hydroxyluteolin 3'-methyl ether 7-allosyl- (1->2) -glucoside
1287,-8.7,individual_ligand_1287,"8-Methoxycoumestrol, 3'-Methoxycoumestrol"
1333,-8.7,individual_ligand_1333,"Acacetin 7- (6""-methylglucuronide)"
1338,-8.7,individual_ligand_1338,"Acacetin 7-glucosyl- (1->4) -xyloside, Apigenin 4'-methyl ether 7-glucosyl- (1->4) -xyloside"
1420,-8.7,individual_ligand_1420,"Ambocin, Genistein 7-O-apiosyl- (1->6) -glucoside"
1429,-8.7,individual_ligand_1429,Amorilin
1451,-8.7,individual_ligand_1451,Angusticornin B
1727,-8.7,individual_ligand_1727,Cajanol
1786,-8.7,individual_ligand_1786,Castillene C
1843,-8.7,individual_ligand_1843,Chrysin 8-C-beta-D-glucopyranoside
1880,-8.7,individual_ligand_1880,Cladrin
1032,-8.6,individual_ligand_1032,"6-Hydroxytricetin 6,7,3',5'-tetramethyl eter 5-robinobioside"
1043,-8.6,individual_ligand_1043,"6-Methoxykaempferol 3-rhamnoside-7- (4""'-acetylrhamnoside)"
1092,-8.6,individual_ligand_1092,"6,8-Dihydroxykaempferol 3,6,7,4'-tetramethyl ether 8-neohesperidoside"
1190,-8.6,individual_ligand_1190,"7,3'-Dihydroxy-5,4'-dimethoxy-4-phenylcoumarin"
1206,-8.6,individual_ligand_1206,"7,4'-Dihydroxy-3',5'-dimethoxyisoflavanone"
1277,-8.6,individual_ligand_1277,8-Hydroxyluteolin 3'-methyl ether 7-glucoside
1285,-8.6,individual_ligand_1285,"8-Hydroxyluteolin 8,3'-dimethyl ether 7-glucoside"
1330,-8.6,individual_ligand_1330,"Acacetin 7- (2""-acetylglucoside)"
1352,-8.6,individual_ligand_1352,Acinoside
1379,-8.6,individual_ligand_1379,Agecorynin E
1432,-8.6,individual_ligand_1432,Amoritin
1434,-8.6,individual_ligand_1434,"Amorphigenin, 8'-Hydroxyrotenone"
145,-8.6,individual_ligand_145,"2'-Hydroxy-3',4',6',3,4-pentamethoxychalcone"
1466,-8.6,individual_ligand_1466,Antiarone C
1490,-8.6,individual_ligand_1490,"Apigenin 7- (2"",3""-diacetylglucoside)"
1556,-8.6,individual_ligand_1556,"Araneosol, 5,7-Dihydroxy-3,4',6,8-tetramethoxyflavone"
1620,-8.6,individual_ligand_1620,"Astroside, Sissotrin, Biochanin A 7-O-glucoside"
1655,-8.6,individual_ligand_1655,Bavachromene
1666,-8.6,individual_ligand_1666,Betuletol 7-glucoside
1673,-8.6,individual_ligand_1673,Biochanin A 7-O-rutinoside
1728,-8.6,individual_ligand_1728,Cajanone
1738,-8.6,individual_ligand_1738,Calomelanol G
1740,-8.6,individual_ligand_1740,Calomelanol I
1770,-8.6,individual_ligand_1770,"Capensinin, 5-O-methyl malvidin"
1878,-8.6,individual_ligand_1878,Cladrastin 7-O-glucoside
1033,-8.5,individual_ligand_1033,"6-Methoxy- [ 2"",3"":7,8 ] furanoflavanone"
1075,-8.5,individual_ligand_1075,"6,7,2',4',5'-Pentamethoxyisoflavone"
116,-8.5,individual_ligand_116,"2,3-Dihydro-ononin, Dihydroformononetin 7-O-glucoside"
1286,-8.5,individual_ligand_1286,"8-Hydroxyluteolin 8,4'-diglucuronide"
1331,-8.5,individual_ligand_1331,"Acacetin 7- (4""""-Acetylrhamnosyl) - (1->6) -glucosyl- (1->3) - (6""-acetylglucoside)"
1334,-8.5,individual_ligand_1334,"Acacetin 7- [ 2""'- (2-methylbutyryl) rutinoside ]"
1431,-8.5,individual_ligand_1431,Amorinin
1442,-8.5,individual_ligand_1442,Anacheiloside
1500,-8.5,individual_ligand_1500,"Apigenin 7- (6""-acetylalloside) -4'-alloside"
1521,-8.5,individual_ligand_1521,Apigenin 7-glucuronosyl- (1->2) -glucuronide
1567,-8.5,individual_ligand_1567,Aromadendrin 5-methyl ether
1653,-8.5,individual_ligand_1653,Bavachinin
1708,-8.5,individual_ligand_1708,Broussoflavonol F
1758,-8.5,individual_ligand_1758,Camelliaside C
1769,-8.5,individual_ligand_1769,"Capensinidin, 5-Methylmalvidin, 3,4',7-Trihydroxy-3',5,5'-trimethoxyflavylium"
1834,-8.5,individual_ligand_1834,Chrysin 5-xyloside
1007,-8.4,individual_ligand_1007,"6-Hydroxykaempferol 3,6-dimethyl ether 7-glucoside"
1020,-8.4,individual_ligand_1020,"6-Hydroxyluteolin 6,3'-dimethyl ether 7,4'-disulfate"
1022,-8.4,individual_ligand_1022,"6-Hydroxyluteolin 6,4'-dimethyl ether 7-rutinoside"
1041,-8.4,individual_ligand_1041,6-Methoxykaempferol 3-O-sulfate
1066,-8.4,individual_ligand_1066,"6,4'-Dihydroxyaurone 4-O-rutinoside"
1086,-8.4,individual_ligand_1086,"6,8-Di-C-glucosylgenkwanin 2""'-O-xyloside"
1130,-8.4,individual_ligand_1130,7-Hydroxy-5-methoxyflavan
1150,-8.4,individual_ligand_1150,"7-Methoxyapigeninidin, 7-O-Methylapigeninidin, 5,4' -Dihydroxy-7-methoxyflavylium, 5-Hydroxy-7-methoxy-2- (4-hydroxyphenyl) -1-benzopyrylium"
1312,-8.4,individual_ligand_1312,9-O-Methylneodunol
1341,-8.4,individual_ligand_1341,Acacetin 7-neohesperidoside
1343,-8.4,individual_ligand_1343,"Acacetin 7-O- [ 6""-O-glucosyl-2""-O- (3""'-acetylrhamnosyl) glucoside"
1346,-8.4,individual_ligand_1346,"Acacetin 7-rhamnosyl- (1->4"") [ glucosyl- (1->6"") (6""'-acetylsophoroside) ]"
1422,-8.4,individual_ligand_1422,Ambofuranol
1423,-8.4,individual_ligand_1423,Ambonane
1427,-8.4,individual_ligand_1427,Amoradinin
1428,-8.4,individual_ligand_1428,Amoricin
1498,-8.4,individual_ligand_1498,"Apigenin 7- (4"",6""-di-p-coumarylglucoside)"
1512,-8.4,individual_ligand_1512,"Apigenin 7-apiofuranosyl- (1->6) -glucoside, 5,7,4'-Trihydroxyflavone 7-apiofuranosyl- (1->6) -glucoside"
1539,-8.4,individual_ligand_1539,Apigenin 7-sulfate
1540,-8.4,individual_ligand_1540,Apigenin 7-xyloside
1578,-8.4,individual_ligand_1578,Artelasticin
1591,-8.4,individual_ligand_1591,Artocommunol CA
1637,-8.4,individual_ligand_1637,Baicalein 6-methyl ether 7-glucosyl- (1->3) -rhamnoside
1688,-8.4,individual_ligand_1688,"Bracteoside, Kaempferol 3-methyl ether 7-glucuronide"
1689,-8.4,individual_ligand_1689,Brevicornin
1837,-8.4,individual_ligand_1837,Chrysin 6-C-beta-D-glucopyranoside
1866,-8.4,individual_ligand_1866,Chrysosplin
1884,-8.4,individual_ligand_1884,"Clematin, Clematine"
1031,-8.3,individual_ligand_1031,"6-Hydroxytricetin 6,7,3',5'-tetramethyl eter 5-rhamnoside"
1037,-8.3,individual_ligand_1037,"6-Methoxykaempferol 3- (6""-acetylglucoside)"
104,-8.3,individual_ligand_104,2-Methoxymedicarpin
1050,-8.3,individual_ligand_1050,"6-Methoxyluteolin 3',4'-disulfate"
1054,-8.3,individual_ligand_1054,"6-Methylapigenin, 5,7,4'-Trihydroxy-6-methylflavone"
1055,-8.3,individual_ligand_1055,"6-Prenylapigenin, 6-C-Prenylapigenin, 5,7,4'-Trihydroxy-6-prenylflavone"
10,-8.3,individual_ligand_10,(-) -Isoscoparin
1117,-8.3,individual_ligand_1117,"7-Geranylformononetin, 4'-Methoxy-7-geranyloxyisoflavone"
1143,-8.3,individual_ligand_1143,"7-Hydroxy-8,3',4'-trimethoxyisoflavone"
117,-8.3,individual_ligand_117,"2,3-Dihydroauriculatin"
1194,-8.3,individual_ligand_1194,"7,3'-DIMETHOXYFLAVONE, 7,3'-Dimethoxy Flavone"
11,-8.3,individual_ligand_11,(-) -Medicarpin
1204,-8.3,individual_ligand_1204,"7,4'-Dihydroxy-3'-methoxyflavan"
1210,-8.3,individual_ligand_1210,"7,4'-Dihydroxy-8-methylflavan"
1217,-8.3,individual_ligand_1217,"7,5',4'-Trimethoxyflavone 7-xylosyl- (1->6) -glucoside"
1226,-8.3,individual_ligand_1226,"7,8,3',4',5'-Pentamethoxyflavone"
1239,-8.3,individual_ligand_1239,"8-C-Methyl-6-hydroxykaempferol 3,6,7-trimethyl ether"
123,-8.3,individual_ligand_123,"2,4,2',4'-Tetrahydroxychalcone"
1281,-8.3,individual_ligand_1281,8-Hydroxyluteolin 4'-methyl ether 8-glucoside
1295,-8.3,individual_ligand_1295,"8-Prenylkaempferol 4'-methyl ether 3- [ 4""'-,6""'-diacetylglucosyl- (1->3) -4""-acetylrhamnoside ]"
1314,-8.3,individual_ligand_1314,"Abietin, Vitexin 6""-O-rhamnoside"
1340,-8.3,individual_ligand_1340,Acacetin 7-glucuronosyl- (1->2) -glucuronide
1342,-8.3,individual_ligand_1342,"Acacetin 7-O- [ 2""'-O-rhamnosyl-2""-O-glucosylglucoside"
1376,-8.3,individual_ligand_1376,Agecorynin B
1384,-8.3,individual_ligand_1384,Agehoustin C
1388,-8.3,individual_ligand_1388,Agehoustin G
1392,-8.3,individual_ligand_1392,Agestricin D
1441,-8.3,individual_ligand_1441,Amurensin
1444,-8.3,individual_ligand_1444,Andrographidin A
1453,-8.3,individual_ligand_1453,Angustone B
1524,-8.3,individual_ligand_1524,Apigenin 7-methyl ether 4'-glucoside
1530,-8.3,individual_ligand_1530,Apigenin 7-O- (2G-rhamnosyl) gentiobioside
1549,-8.3,individual_ligand_1549,Apiin
1554,-8.3,individual_ligand_1554,Apuleirin
1581,-8.3,individual_ligand_1581,Artelastochromene
1582,-8.3,individual_ligand_1582,Artelastofuran
15,-8.3,individual_ligand_15,(-) -Phaseollinisoflavan
1609,-8.3,individual_ligand_1609,Artonin S
1619,-8.3,individual_ligand_1619,"Astrasikokioside I, Desacyl gladiatoside B, Kaempferol 3-rhamnosyl- (1->6) - [ rhamnosyl- (1->2) -galactoside ] -7-rhamnoside"
1687,-8.3,individual_ligand_1687,"Bonanzin, Quercetagetin 3,6,3',4'-tetramethyl ether, 5,7-Dihydroxy-3,6,3',4'-tetramethoxyflavone"
1733,-8.3,individual_ligand_1733,Calomelanol A
1775,-8.3,individual_ligand_1775,"Carpachromene, 5,4'-Dihidroxy-6"",6""-dimethylpyrano [ 2"",3"":7,6 ] flavone"
1793,-8.3,individual_ligand_1793,Catechin 5-O-beta-D-glucopyranoside-4'-Me
1821,-8.3,individual_ligand_1821,Chalconaringenin 2'-rhamnosyl- (1->4) -glucoside
1828,-8.3,individual_ligand_1828,Chamanetin
1877,-8.3,individual_ligand_1877,Cladrastin
1000,-8.2,individual_ligand_1000,"6-Hydroxy-7,2'-dimethoxy-4',5'-methylenedioxyisoflavone"
100,-8.2,individual_ligand_100,2-Hydroxyhomopterocarpin
1025,-8.2,individual_ligand_1025,"6-Hydroxyluteolin 7,3'-dimethyl ether 6-glucoside"
1036,-8.2,individual_ligand_1036,6-Methoxyhomopterocarpin
1044,-8.2,individual_ligand_1044,6-Methoxykaempferol 3-robinobioside
1049,-8.2,individual_ligand_1049,"6-Methoxykaempferol, 3,5,7,4'-Tetrahydroxy-6-methoxyflavone"
1068,-8.2,individual_ligand_1068,"6,5'-Dihydroxy-3,5,7,2',4'-pentamethoxyflavone"
1121,-8.2,individual_ligand_1121,"7-Hydroxy-3,5,4'-trimethoxyflavanone"
1195,-8.2,individual_ligand_1195,"7,3'-Dimethylorobol"
119,-8.2,individual_ligand_119,"2,3,4,5,2',3',4',6'-Octamethoxychalcone"
1207,-8.2,individual_ligand_1207,"7,4'-Dihydroxy-5-methoxyflavanone 7-neohesperidoside-4'-glucoside"
1262,-8.2,individual_ligand_1262,"8-Hydroxy-5,7-dimethoxyflavanone"
1263,-8.2,individual_ligand_1263,"8-Hydroxy-5,7,3',4'-tetramethoxy-4-phenylcoumarin"
1267,-8.2,individual_ligand_1267,"8-Hydroxyapigenin 8- (2"",4""-disulfatoglucuronide)"
1296,-8.2,individual_ligand_1296,8-Prenylkaempferol 4'-methyl ether 3-rhamnosyl- (1->6) -galactoside-7-galactoside
1308,-8.2,individual_ligand_1308,"8,4'-Dihydroxyisoflavone"
1309,-8.2,individual_ligand_1309,"9-Methoxy-7-phenyl-5H-furo [ 3,2-g ] [ 1 ] benzopyran-5-one"
1322,-8.2,individual_ligand_1322,Abyssinoflavanone VI
1370,-8.2,individual_ligand_1370,Afzelin
1430,-8.2,individual_ligand_1430,Amorin
1499,-8.2,individual_ligand_1499,"Apigenin 7- (4"",6""-diacetylalloside) -4'-alloside"
1503,-8.2,individual_ligand_1503,"Apigenin 7- (6""-ethylglucuronide)"
1513,-8.2,individual_ligand_1513,"Apigenin 7-cellobioside-4'-glucoside, 5,7,4'-Trihydroxyflavone 7-cellobioside-4'-glucoside"
1547,-8.2,individual_ligand_1547,"Apigeninidin 5,7-diglucoside"
1566,-8.2,individual_ligand_1566,Aromadendrin 4'-xyloside
1569,-8.2,individual_ligand_1569,"Aromadendrin 6-C-glucoside, 6-C-Glucopyranosyldihydrokaempferol"
1583,-8.2,individual_ligand_1583,Artemetin 5-glucosyl- (1->4) -rhamnoside
1621,-8.2,individual_ligand_1621,Atalantoflavone
1664,-8.2,individual_ligand_1664,Betavulgarin
1665,-8.2,individual_ligand_1665,Betuletol 3-galactoside
1667,-8.2,individual_ligand_1667,"Betuletol, 6,4'-Dimethoxy-3,5,7-trihydroxyflavone"
1792,-8.2,individual_ligand_1792,Catechin 4'-O-beta-D-glucopyranoside
1818,-8.2,individual_ligand_1818,"Cerrosillin, 5,6,3',5'-tetramethoxyflavone"
1868,-8.2,individual_ligand_1868,Ciliatin B
1005,-8.1,individual_ligand_1005,"6-Hydroxykaempferol 3,5,7,4'-tetramethyl ether 6-rhamnoside"
1015,-8.1,individual_ligand_1015,6-Hydroxyluteolin 6-glucoside-3'-rhamnoside
1047,-8.1,individual_ligand_1047,6-Methoxykaempferol 4'-rhamnoside
1060,-8.1,individual_ligand_1060,"6,2',3'-Trimethoxyflavone"
1095,-8.1,individual_ligand_1095,"6,8-Diprenylpratensein"
1113,-8.1,individual_ligand_1113,6a-Hydroxymedicarpin
1229,-8.1,individual_ligand_1229,"8-C-beta-D-Glucofuranosylapigenin 2""-O-acetate"
1232,-8.1,individual_ligand_1232,"8-C-beta-D-Glucopyranosylkaempferol, 8-beta-D-Glucopyranosyl-3,5,7,4'-tetrahydroxyflavone"
1251,-8.1,individual_ligand_1251,"8-C-xylopyranosylchrysoeriol 2""-O-glucoside"
1265,-8.1,individual_ligand_1265,8-Hydroxyapigenin 7-sophoroside
130,-8.1,individual_ligand_130,"2,6,3'-Trihydroxy-4'-methoxy-2-benzylcoumaranone"
1310,-8.1,individual_ligand_1310,"9-O-Methylcoumestrol, 4'-O-Methylcoumestrol"
1311,-8.1,individual_ligand_1311,9-O-Methylglyceofuran
1315,-8.1,individual_ligand_1315,Abrectorin
1375,-8.1,individual_ligand_1375,Agecorynin A
1405,-8.1,individual_ligand_1405,"Alnusin, 6-Methoxygalangin, 3,5,7-Trihydroxy-6-methoxyflavone"
1416,-8.1,individual_ligand_1416,"ALVOCIDIB, FLAVOPIRIDOL, Flavopiridol, HL 275, HMR 1275, L 86 8275, L-868275, MDL-107826A, NSC-649890"
1443,-8.1,individual_ligand_1443,Androechin
1458,-8.1,individual_ligand_1458,Anhydroicaritin 3-galactosyl- (1->3) -rhamnoside-7-glucoside
1515,-8.1,individual_ligand_1515,Apigenin 7-glucoside-4'-p-coumarate
1537,-8.1,individual_ligand_1537,Apigenin 7-rutinoside-4'-glucoside
1543,-8.1,individual_ligand_1543,"Apigenin 7,4'-diglucoside"
1546,-8.1,individual_ligand_1546,Apigenin 8-C- [ xylosyl- (1->2) -galactoside ]
1579,-8.1,individual_ligand_1579,Artelastin
165,-8.1,individual_ligand_165,2'-Methoxybiochanin A
1672,-8.1,individual_ligand_1672,"Biochanin A 7-O-glucoside-6""-malonate"
1681,-8.1,individual_ligand_1681,Boesenbergin A
1706,-8.1,individual_ligand_1706,Broussoflavonol D
1716,-8.1,individual_ligand_1716,"Bucegin, Galangustin"
1739,-8.1,individual_ligand_1739,Calomelanol H
1765,-8.1,individual_ligand_1765,"Cannflavin B, Canniflavone, Canniflavone 1, 6-Prenylchrysoeriol"
1780,-8.1,individual_ligand_1780,"Cassiaoccidentalin C, 6-C- (6-Deoxy-ribo-hexos-3-ulosyl) diomestin 2""-O-rhamnoside"
1848,-8.1,individual_ligand_1848,Chrysoeriol 6-C-glucoside-8-C-arabinopyranoside
1854,-8.1,individual_ligand_1854,Chrysoeriol 7-neohesperidoside
1021,-8,individual_ligand_1021,"6-Hydroxyluteolin 6,4'-dimethyl ether 7-glucoside"
1026,-8,individual_ligand_1026,"6-Hydroxymyricetin 3,6,3',5'-tetramethyl ether 7-glucoside"
